name,street,city,state,zip,type,,website
Sky Cannabis,52 E Broad St unit 9,Hopewell,NJ,8525,R,,
Social Dispensary,614 N Pearl St,Bridgeton,NJ,8302,R,,
Somerset Green,729 Somerset St,Somerset,NJ,8873,R,,
Soulflora,2713 NJ-23,Newfoundland,NJ,7435,R,,
Sparkology,3231 NJ-27,Franklin Park,NJ,8823,R,,
Spot 23 LLC,2915 NJ-23,Newfoundland,NJ,7435,R,,
Springfield Ave Dispensary,1070 Springfield Ave,Irvington,NJ,7111,R,,
Story Dispensary of Springfield,130 US-22,Springfield,NJ,7081,R,,
SunnyTien,3004 Atlantic Ave,Atlantic City,NJ,8401,R,,
Sussex Pharms,54 Main St,Sussex,NJ,7461,R,,
Sweet Leaf's LLC,21 S Tennessee Ave,Atlantic City,NJ,8401,R,,
Sweetspot Dispensary Maplewood,751 Irvington Ave,Maplewood,NJ,7040,R,,
Sweetspot River Edge,75 Rte 4,River Edge,NJ,7661,R,,
Taste of Earth,108 Wheat Rd,Buena,NJ,8310,R,,
The Cannabis Place,1544 John F. Kennedy Blvd,Jersey City,NJ,7305,R,,
The Dispensary of Saddle Brook,225 US-46,Saddle Brook,NJ,7663,R,,
The Frosted Nug at Red Bank,22 Bridge Ave,Red Bank,NJ,7701,R,,
"The Goods Supply Co. Victory Gardens, LLC",330 S Salem St,Dover,NJ,7801,R,,
The Healing Side,2415 Pacific Ave,Atlantic City,NJ,8401,R,,
The Honorable Plant,123 Bay Ave,Highlands,NJ,7732,R,,
The Jersey Joint Dispensary,7-11 State St,Glassboro,NJ,8028,R,,
The Leaf and Seed Dispensary,328 White Horse Pike Unit L,Clementon,NJ,8021,R,,
The Library of New Jersey,1-3 Washington St,West Orange,NJ,7052,R,,
The Medicine Woman,660 Tonnelle Ave,Jersey City,NJ,7307,R,,
The Other Side Dispensary,36 Congress St,Jersey City,NJ,7307,R,,
The Social Leaf,334 Atlantic City Blvd,Toms River,NJ,8757,R,,
The THC Shop,1740 Atlantic Ave,Atlantic City,NJ,8401,R,,
The Wildflower Market,1810 Wayside Rd suite a,Eatontown,NJ,7724,R,,
Timber 5,695 Hamilton St,Somerset,NJ,8873,R,,
Township Green,15-17 E Scott St,Riverside,NJ,8075,R,,
Tree House Co-Op Dispensary,326 NJ-73,Voorhees Township,NJ,8043,R,,
Treeotics,467 Lyons Ave,Newark,NJ,7112,R,,
Twisted Hat Cannabis,515 Shell Rd,Carneys Point,NJ,8069,R,,
Uforia Dispensary,138 Griffith St,Jersey City,NJ,7307,R,,
Uma Flowers,100 Ridgedale Ave,Morristown,NJ,7960,R,,
Union Chill,204 N Union St,Lambertville,NJ,8530,R,,
Unity Rd. Cannabis Shop,441 Elizabeth Ave,Somerset,NJ,8873,R,,
Urge,941 Elizabeth Ave,Elizabeth,NJ,7201,R,,
Vigor Dispensary,1082 NJ-34,Matawan,NJ,7747,R,,
Village Hoboken,516 Washington St,Hoboken,NJ,7030,R,,
Voltaire NJ,47 Mill St,Mt Holly,NJ,8060,R,,
West Orange Wellness,26 S Valley Rd,West Orange,NJ,7052,R,,
Woodbury Wellness,818 N Broad St,Woodbury,NJ,8096,R,,
Xena NJ,759a Bergen Ave,Jersey City,NJ,7305,R,,
Zacate,"Millside Shopping Center II, 4037 US-130",Delran,NJ,8075,R,,
Zen Leaf Mount Holly,600 High St,Mt Holly,NJ,8060,R,,
Apothecarium Dispensary,55 S Main St,Phillipsburg,NJ,8865,M,,
Apothecarium Dispensary,1865 Springfield Ave,Maplewood,NJ,7040,M,,
Apothecarium Dispensary,200 NJ-17,Lodi,NJ,7644,M,,
Ascend,325 NJ-15,Wharton,NJ,7885,M,,
Ascend,461-469 West St,Fort Lee,NJ,7024,M,,
Ascend,174 NJ-17,Rochelle Park,NJ,7662,M,,
Aunt Mary's Dispensary,100 Reaville Ave,Flemington,NJ,8822,M,,
Ayr Wellness,950 US-1,Woodbridge,NJ,7095,M,,
Ayr Wellness,59 Main St,Eatontown,NJ,7724,M,,
Ayr Wellness,2536 US-22,Union,NJ,7083,M,,
BLOC,1075 Easton Ave,Somerset,NJ,8873,M,,
BLOC,501 US-9,Waretown,NJ,8758,M,,
BLOC,1761 N Olden Ave,Ewing Township,NJ,8638,M,,
Breakwater,2 Corporate Dr,East Windsor,NJ,8512,M,,
Breakwater,154 Westfield Ave W,Roselle Park,NJ,7204,M,,
Brute's Roots,6206 Black Horse Pike,Egg Harbor Township,NJ,8234,M,,
Curaleaf,191 US-130,Bordentown,NJ,8505,M,,
Curaleaf,4237 US-130,Edgewater Park,NJ,8010,M,,
Curaleaf,640 Creek Rd,Bellmawr,NJ,8031,M,,
Design 710,112 Park Pl,Atlantic City,NJ,8401,M,,
Downtown FLWR,141 Newark Ave,Jersey City,NJ,7302,M,,
Eastern Green,78 NJ-73,Voorhees Township,NJ,8043,M,,
Garfield Gardens Dispensary,517 River Dr,Garfield,NJ,7026,M,,
Holistic Solutions,451 White Horse Pike,Atco,NJ,8004,M,,
HoneyGrove,1337 Blackwood-Clementon Rd,Clementon,NJ,8021,M,,
Illicit Gardens Dispensary Secaucus,30 Wood Ave,Secaucus,NJ,7094,M,,
Monmouth Wellness & Healing (Formerly NJ Leaf),546 Park Ave,Freehold,NJ,7728,M,,
Monteverde NJ,45 Bridge Ave,Red Bank,NJ,7701,M,,
MPX NJ,153 S New York Ave,Atlantic City,NJ,8401,M,,
MPX NJ,5035 Central Hwy,Pennsauken Township,NJ,8109,M,,
MPX NJ,581 Berlin - Cross Keys Rd,Sicklerville,NJ,8081,M,,
NJ Leaf North Brunswick (Formerly Garden State Botanicals),1345 US-1,North Brunswick Township,NJ,8902,M,,
Restore NJ,300 William Dalton Dr,Glassboro,NJ,8028,M,,
RIPT,220 Broadway,Jersey City,NJ,7306,M,,
RISE,145 Rte 4,Paramus,NJ,7652,M,,
RISE,196 3rd Ave 3 c,Paterson,NJ,7514,M,,
RISE,26-48 Bloomfield Ave,Bloomfield,NJ,7003,M,,
Roots Dispensary,4402 US-130,Willingboro,NJ,8046,M,,
Sanctuary Cannabis,2581 US-22,Scotch Plains,NJ,7076,M,,
SilverLeaf Wellness,1743 NJ-27,Somerset,NJ,8873,M,,
Sweet Spot,903 White Horse Rd,Voorhees Township,NJ,8043,M,,
The Botanist,2090 N Black Horse Pike,Williamstown,NJ,8094,M,,
The Botanist,35 W Crescent Blvd,Collingswood,NJ,8108,M,,
The Botanist,100 Century Dr,Egg Harbor Township,NJ,8234,M,,
The Cannabist,4476 Black Horse Pike Suite 2,Mays Landing,NJ,8330,M,,
The Cannabist,1062 N Delsea Dr,Vineland,NJ,8360,M,,
The Cannabist,1692 Clements Bridge Rd,Deptford,NJ,8096,M,,
The Station,86 River St,Hoboken,NJ,7030,M,,
Theo A. Cannabis,3059 NJ-27 unit 104,Franklin Park,NJ,8823,M,,
Theory Wellness,461 New York Ave,Trenton,NJ,8638,M,,
Toke Lane Cannabis Dispensary,226 S Broad St,Trenton,NJ,8608,M,,
URB’N Dispensary,378 South St,Newark,NJ,7105,M,,
Valley Wellness,407 US-202,Raritan,NJ,8869,M,,
Zen Leaf,NJ-66,Neptune Township,NJ,,M,,
Zen Leaf,117 Spring St,Elizabeth,NJ,7201,M,,
Zen Leaf,3256 Brunswick Pike,Lawrence Township,NJ,8648,M,,
