name,street,city,state,zip,type,website,phone,source
Evolve Cannabis,186 US-130,Bordentown,NJ,8505,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Feels of Green,474 US-206,Newton,NJ,7860,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Fire and Oak,5 Washington St,Mt Holly,NJ,8060,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Flower & Flame Dispensary,601 College Dr,Blackwood,NJ,8012,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Flowerbomb Dispensary,1108 Clinton Ave,Irvington,NJ,7111,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Fresh Dispensary Eatontown,315 NJ-35,Eatontown,NJ,7724,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Fresh Elizabeth,460 Maple Ave,Elizabeth,NJ,7202,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
G2 Dispensary,350 US-46,Rockaway,NJ,7866,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Garden Greenz,190 Newark Ave,Jersey City,NJ,7302,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Garden State Natural Green,4597 NJ-27,Kingston,NJ,8528,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Ginger Hale,814 White Horse Pike,Oaklyn,NJ,8107,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Golden Door Dispensary,638 Newark Ave,Jersey City,NJ,7306,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Got Your Six Dispensary of New Jersey,4437 NJ-27,Princeton,NJ,8540,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Green Haven Industries,402 Elizabeth Ave,Elizabeth,NJ,7206,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Green Knight Cannabis,831 Hamilton St,Somerset,NJ,8873,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Green Lightning Cannabis,1503 Taylors Ln,Cinnaminson,NJ,8077,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Green Oasis Dispensary,632 White Horse Pike,Atco,NJ,8004,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Green Wellness Haven,1110 N New Rd,Pleasantville,NJ,8232,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Greenstop Dispensary,516 Tonnelle Ave,Jersey City,NJ,7307,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Gynsyng,14 S Center St,Merchantville,NJ,8109,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Hackettstown Dispensary,321 Mountain Ave,Hackettstown,NJ,7840,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Hamm & Chaz Cannabis Dispensary,747 West Side Ave,Jersey City,NJ,7306,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Happy Leaf,200 N White Horse Pike,Somerdale,NJ,8083,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Hashery,409 NJ-17,Hackensack,NJ,7601,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Hashstoria NJ,799 Broad St,Newark,NJ,7102,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Hello High,7685 Black Horse Pike,Hammonton,NJ,8037,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Herb's Premium Dispensary,757 Franklin Blvd,Somerset,NJ,8873,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Herbalicity,246 Raritan Ave,Highland Park,NJ,8904,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
High Profile Lakehurst,145 NJ-70,Lakehurst,NJ,8733,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
High Profile of Somerdale Dispensary,4 N White Horse Pike,Somerdale,NJ,8083,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
High Rollers Dispensary,120 S Indiana Ave,Atlantic City,NJ,8401,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
High Street Dispensary,811 High St,Hackettstown,NJ,7840,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Highway 90,90 Old Marlton Pike,Evesham,NJ,8053,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Holistic Re-Leaf,321 Mt Hope Ave,Rockaway,NJ,7866,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Honey Buzz Farms,1724 Atlantic Ave,Atlantic City,NJ,8401,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
HudHaus,9001 River Rd,North Bergen,NJ,7047,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Hudsonica Inc.,1427 Grand St,Hoboken,NJ,7030,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
HZY Goods,19 Prospect St,East Orange,NJ,7017,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Indigo,302 Crescent Blvd,Brooklawn,NJ,8030,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
INSA Coastline Dispensary,1580 US-9,Cape May Court House,NJ,8210,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Island Vibez,18 Roosevelt Ave,Plainfield,NJ,7060,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
J & J Cannabis Dispensary,3055 NJ-23 Unit A,Oak Ridge,NJ,7438,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
JC Element,365 Central Ave,Jersey City,NJ,7307,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Jersey Leaf,554 West Side Ave,Jersey City,NJ,7304,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Jersey Meds,7 NJ-31,Pennington,NJ,8534,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Jersey Roots,1433 Union Valley Rd,West Milford,NJ,7480,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Jester's Joint,70 Easton Ave,New Brunswick,NJ,8901,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Joy Leaf,711 E 1st Ave,Roselle Park,NJ,7204,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Kind Kush,279 US-46,Rockaway,NJ,7866,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Kine Buds Maywood,113 E Passaic St,Maywood,NJ,7607,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
La Vida Gardens,523 Washington Ave,Belleville,NJ,7109,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Lady L Cannabis,547 West Side Ave,Jersey City,NJ,7304,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Leaf Haus,900 Easton Ave,Somerset,NJ,8873,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Leaf Joint,391 Central Ave,Jersey City,NJ,7307,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Legacy to Lifted,490 West Side Ave,Jersey City,NJ,7304,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Legal Distribution,3112 Atlantic Ave,Atlantic City,NJ,8401,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Lemon 22,2006 US-22,Scotch Plains,NJ,7076,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Loud House,112 N 3rd St,Camden,NJ,8102,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Mad Hatter Dispensary,845 US-1,Avenel,NJ,7001,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Main Street Dispensary,311 Raritan Ave,Highland Park,NJ,8904,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Mass Grown,34 Mill St,Mt Holly,NJ,8060,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Med Leaf,201 Philadelphia Ave,Egg Harbor City,NJ,8215,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Midnight Greens,5100 NJ-42,Blackwood,NJ,8012,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
MindLift Dispensary,517 Park Ave,Plainfield,NJ,7060,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
MMD NJ,655 Newark Ave,Jersey City,NJ,7306,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Moja Life,28 S Warren St,Trenton,NJ,8608,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Molly Ann Farms,256 Belmont Ave,Haledon,NJ,7508,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Mountain Dispensary,46 NJ-94,Vernon Township,NJ,7462,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Mountain View Farmacy,74 Oak Ridge Rd,Oak Ridge,NJ,7438,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
NAR Cannabis,4004 Church Rd,Mt Laurel Township,NJ,8054,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Natural Apothecary,27 Washington Ave,Belleville,NJ,7109,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Nature’s Motivation,1095 Clinton Ave,Irvington,NJ,7111,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Nevaeh Verde Dispensary,176 Belmont Ave,Belleville,NJ,7109,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
New Era Dispensary,80-88 Main St,South Bound Brook,NJ,8880,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
New Frontier Solutions,473 E Broadway,Salem,NJ,8079,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Nightjar,549 Bloomfield Ave,Bloomfield,NJ,7003,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Nile of NJ,5409 Bergenline Ave,West New York,NJ,7093,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Nirvana,1134 NJ-73,Mt Laurel Township,NJ,8054,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
NJ Pure,"A-10, 4313 US-130",Edgewater Park,NJ,8010,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Noire Dispensary,171 Maplewood Ave,Maplewood,NJ,7040,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Northeast Alternatives Dispensary,780 US-130,Hamilton Township,NJ,8691,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Nova Farms,642 Mantua Pike,Woodbury,NJ,8096,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Ohm Theory,213 US-46,Elmwood Park,NJ,7407,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
One Green Leaf,95 Lakeview Dr N,Gibbsboro,NJ,8026,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Organic Farms,2895 Mt Ephraim Ave,Camden,NJ,8104,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
OTC Jersey,167 New Jersey Ave,Absecon,NJ,8201,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Phasal,1100 N Black Horse Pike,Runnemede,NJ,8078,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Phula,60-62 High St,Mt Holly,NJ,8060,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Plant Base,148 E 2nd St,Plainfield,NJ,7060,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Plantabis,2077 US-1,Rahway,NJ,7065,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Plantopia,37 Main St,Englishtown,NJ,7726,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
PPP Dispensary,3001 Atlantic Ave,Atlantic City,NJ,8401,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Premo,2 E Front St,Keyport,NJ,7735,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Public Absecon,792a White Horse Pike,Absecon,NJ,8201,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Puffin Store,382 George St,New Brunswick,NJ,8901,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Pure Blossom,2554 Pennington Rd,Pennington,NJ,8534,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Pure Natural Vibes,470 Prospect Ave,West Orange,NJ,7052,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Quality Roots,850 Rte 70 W,Marlton,NJ,8053,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Queen City Remedies,1353 South Ave,Plainfield,NJ,7062,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Releaf Cannabis,1024 S Black Horse Pike,Williamstown,NJ,8094,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
RushBudz Dispensary,77 Main St,South Bound Brook,NJ,8880,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Ruuted,14 Main St,Englishtown,NJ,7726,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Salt Air Botanicals,1127 Arctic Ave,Atlantic City,NJ,8401,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Scarlet Reserve Room,5 Hamilton Rd,Englishtown,NJ,7726,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Sea & Leaf,3860 Bayshore Rd,North Cape May,NJ,8204,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Shipwreck'd,300 W Sylvania Ave,Neptune City,NJ,7753,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Shore House Canna,124 Sunset Blvd,Cape May,NJ,8204,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Simply Pure Trenton,1531 N Olden Ave,Ewing Township,NJ,8638,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Sky Cannabis,52 E Broad St unit 9,Hopewell,NJ,8525,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
