name,street,city,state,zip,website,phone,source
Earth & Ivy Lakehurst,29 Union Ave,Lakehurst,NJ,08733,,,https://www.nj.gov/cannabis/dispensaries/find/
Elevated by TheCannaBossLady,9 Highland Pl,Maplewood,NJ,07040,,,https://www.nj.gov/cannabis/dispensaries/find/
Elevated Herb,1846 NJ-23,West Milford,NJ,07480,,,https://www.nj.gov/cannabis/dispensaries/find/
Emerald Tea Supply,368b Broad St,Bloomfield,NJ,07003,,,https://www.nj.gov/cannabis/dispensaries/find/
Enlighten Dispensary,781 Rte 70 W,Marlton,NJ,08053,,,https://www.nj.gov/cannabis/dispensaries/find/
Everest Dispensary,1226 Atlantic Ave,Atlantic City,NJ,08401,,,https://www.nj.gov/cannabis/dispensaries/find/
Evergreen Nature's Remedy,1242 NJ-23,Butler,NJ,07405,,,https://www.nj.gov/cannabis/dispensaries/find/
Evolve Cannabis,186 US-130,Bordentown,NJ,08505,,,https://www.nj.gov/cannabis/dispensaries/find/
Feels of Green,474 US-206,Newton,NJ,07860,,,https://www.nj.gov/cannabis/dispensaries/find/
Fire and Oak,5 Washington St,Mt Holly,NJ,08060,,,https://www.nj.gov/cannabis/dispensaries/find/
Flower and Flame Dispensary,601 College Dr,Blackwood,NJ,08012,,,https://www.nj.gov/cannabis/dispensaries/find/
Flowerbomb Dispensary,1108 Clinton Ave,Irvington,NJ,07111,,,https://www.nj.gov/cannabis/dispensaries/find/
Fresh Dispensary Eatontown,315 NJ-35,Eatontown,NJ,07724,,,https://www.nj.gov/cannabis/dispensaries/find/
Fresh Elizabeth,460 Maple Ave,Elizabeth,NJ,07202,,,https://www.nj.gov/cannabis/dispensaries/find/
G2 Dispensary,350 US-46,Rockaway,NJ,07866,,,https://www.nj.gov/cannabis/dispensaries/find/
Garden Greenz,190 Newark Ave,Jersey City,NJ,07302,,,https://www.nj.gov/cannabis/dispensaries/find/
Garden State Natural Green,4597 NJ-27,Kingston,NJ,08528,,,https://www.nj.gov/cannabis/dispensaries/find/
Ginger Hale,814 White Horse Pike,Oaklyn,NJ,08107,,,https://www.nj.gov/cannabis/dispensaries/find/
Golden Door Dispensary,638 Newark Ave,Jersey City,NJ,07306,,,https://www.nj.gov/cannabis/dispensaries/find/
Get Directions,4437 NJ-27,Princeton,NJ,08540,,,https://www.nj.gov/cannabis/dispensaries/find/
Green Haven Industries,402 Elizabeth Ave,Elizabeth,NJ,07206,,,https://www.nj.gov/cannabis/dispensaries/find/
Green Knight Cannabis,831 Hamilton St,Somerset,NJ,08873,,,https://www.nj.gov/cannabis/dispensaries/find/
Green Lightning Cannabis,1503 Taylors Ln,Cinnaminson,NJ,08077,,,https://www.nj.gov/cannabis/dispensaries/find/
Get Directions,632 White Horse Pike,Atco,NJ,08004,,,https://www.nj.gov/cannabis/dispensaries/find/
Green Wellness Haven,1110 N New Rd,Pleasantville,NJ,08232,,,https://www.nj.gov/cannabis/dispensaries/find/
Get Directions,516 Tonnelle Ave,Jersey City,NJ,07307,,,https://www.nj.gov/cannabis/dispensaries/find/
Gynsyng,14 S Center St,Merchantville,NJ,08109,,,https://www.nj.gov/cannabis/dispensaries/find/
Get Directions,321 Mountain Ave,Hackettstown,NJ,07840,,,https://www.nj.gov/cannabis/dispensaries/find/
Get Directions,747 West Side Ave,Jersey City,NJ,07306,,,https://www.nj.gov/cannabis/dispensaries/find/
Happy Leaf,200 N White Horse Pike,Somerdale,NJ,08083,,,https://www.nj.gov/cannabis/dispensaries/find/
Hashery,409 NJ-17,Hackensack,NJ,07601,,,https://www.nj.gov/cannabis/dispensaries/find/
Hashstoria NJ,799 Broad St,Newark,NJ,07102,,,https://www.nj.gov/cannabis/dispensaries/find/
Hello High,7685 Black Horse Pike,Hammonton,NJ,08037,,,https://www.nj.gov/cannabis/dispensaries/find/
Get Directions,757 Franklin Blvd,Somerset,NJ,08873,,,https://www.nj.gov/cannabis/dispensaries/find/
Herbalicity,246 Raritan Ave,Highland Park,NJ,08904,,,https://www.nj.gov/cannabis/dispensaries/find/
High Profile Lakehurst,145 NJ-70,Lakehurst,NJ,08733,,,https://www.nj.gov/cannabis/dispensaries/find/
Get Directions,4 N White Horse Pike,Somerdale,NJ,08083,,,https://www.nj.gov/cannabis/dispensaries/find/
Get Directions,120 S Indiana Ave,Atlantic City,NJ,08401,,,https://www.nj.gov/cannabis/dispensaries/find/
Get Directions,811 High St,Hackettstown,NJ,07840,,,https://www.nj.gov/cannabis/dispensaries/find/
Highway 90,90 Old Marlton Pike,Evesham,NJ,08053,,,https://www.nj.gov/cannabis/dispensaries/find/
Holistic Re-Leaf,321 Mt Hope Ave,Rockaway,NJ,07866,,,https://www.nj.gov/cannabis/dispensaries/find/
Honey Buzz Farms,1724 Atlantic Ave,Atlantic City,NJ,08401,,,https://www.nj.gov/cannabis/dispensaries/find/
HudHaus,9001 River Rd,North Bergen,NJ,07047,,,https://www.nj.gov/cannabis/dispensaries/find/
Hudsonica Inc.,1427 Grand St,Hoboken,NJ,07030,,,https://www.nj.gov/cannabis/dispensaries/find/
Indigo,302 Crescent Blvd,Brooklawn,NJ,08030,,,https://www.nj.gov/cannabis/dispensaries/find/
Island Vibez,18 Roosevelt Ave,Plainfield,NJ,07060,,,https://www.nj.gov/cannabis/dispensaries/find/
Get Directions,3055 NJ-23 Unit A,Oak Ridge,NJ,07438,,,https://www.nj.gov/cannabis/dispensaries/find/
JC Element,365 Central Ave,Jersey City,NJ,07307,,,https://www.nj.gov/cannabis/dispensaries/find/
Jersey Leaf,554 West Side Ave,Jersey City,NJ,07304,,,https://www.nj.gov/cannabis/dispensaries/find/
Jersey Meds,7 NJ-31,Pennington,NJ,08534,,,https://www.nj.gov/cannabis/dispensaries/find/
Jersey Roots,1433 Union Valley Rd,West Milford,NJ,07480,,,https://www.nj.gov/cannabis/dispensaries/find/
Jester's Joint,70 Easton Ave,New Brunswick,NJ,08901,,,https://www.nj.gov/cannabis/dispensaries/find/
Joy Leaf,711 E 1st Ave,Roselle Park,NJ,07204,,,https://www.nj.gov/cannabis/dispensaries/find/
Kind Kush,279 US-46,Rockaway,NJ,07866,,,https://www.nj.gov/cannabis/dispensaries/find/
