name,street,city,state,zip,website,phone,source
NJ Leaf North Brunswick (Formerly Garden State Botanicals),1345 US-1,North Brunswick Township,NJ,08902,,,https://www.nj.gov/cannabis/dispensaries/find/
Restore NJ,300 William Dalton Dr,Glassboro,NJ,08028,,,https://www.nj.gov/cannabis/dispensaries/find/
RIPT,220 Broadway,Jersey City,NJ,07306,,,https://www.nj.gov/cannabis/dispensaries/find/
RISE,145 Rte 4,Paramus,NJ,07652,,,https://www.nj.gov/cannabis/dispensaries/find/
RISE,196 3rd Ave 3 c,Paterson,NJ,07514,,,https://www.nj.gov/cannabis/dispensaries/find/
RISE,26-48 Bloomfield Ave,Bloomfield,NJ,07003,,,https://www.nj.gov/cannabis/dispensaries/find/
Get Directions,4402 US-130,Willingboro,NJ,08046,,,https://www.nj.gov/cannabis/dispensaries/find/
Sanctuary Cannabis,2581 US-22,Scotch Plains,NJ,07076,,,https://www.nj.gov/cannabis/dispensaries/find/
SilverLeaf Wellness,1743 NJ-27,Somerset,NJ,08873,,,https://www.nj.gov/cannabis/dispensaries/find/
Sweet Spot,903 White Horse Rd,Voorhees Township,NJ,08043,,,https://www.nj.gov/cannabis/dispensaries/find/
The Botanist,2090 N Black Horse Pike,Williamstown,NJ,08094,,,https://www.nj.gov/cannabis/dispensaries/find/
The Botanist,35 W Crescent Blvd,Collingswood,NJ,08108,,,https://www.nj.gov/cannabis/dispensaries/find/
The Botanist,100 Century Dr,Egg Harbor Township,NJ,08234,,,https://www.nj.gov/cannabis/dispensaries/find/
The Cannabist,4476 Black Horse Pike Suite 2,Mays Landing,NJ,08330,,,https://www.nj.gov/cannabis/dispensaries/find/
The Cannabist,1062 N Delsea Dr,Vineland,NJ,08360,,,https://www.nj.gov/cannabis/dispensaries/find/
The Cannabist,1692 Clements Bridge Rd,Deptford,NJ,08096,,,https://www.nj.gov/cannabis/dispensaries/find/
The Station,86 River St,Hoboken,NJ,07030,,,https://www.nj.gov/cannabis/dispensaries/find/
Theo A. Cannabis,3059 NJ-27 unit 104,Franklin Park,NJ,08823,,,https://www.nj.gov/cannabis/dispensaries/find/
Theory Wellness,461 New York Ave,Trenton,NJ,08638,,,https://www.nj.gov/cannabis/dispensaries/find/
Get Directions,226 S Broad St,Trenton,NJ,08608,,,https://www.nj.gov/cannabis/dispensaries/find/
Get Directions,378 South St,Newark,NJ,07105,,,https://www.nj.gov/cannabis/dispensaries/find/
Valley Wellness,407 US-202,Raritan,NJ,08869,,,https://www.nj.gov/cannabis/dispensaries/find/
Zen Leaf,NJ-66,Neptune Township,NJ,,,,https://www.nj.gov/cannabis/dispensaries/find/
Zen Leaf,117 Spring St,Elizabeth,NJ,07201,,,https://www.nj.gov/cannabis/dispensaries/find/
Zen Leaf,3256 Brunswick Pike,Lawrence Township,NJ,08648,,,https://www.nj.gov/cannabis/dispensaries/find/
